#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,10
1,12
2,4
3,24
4,30
5,16
6,16
7,6
8,24
9,26
10,18
11,3
12,30
13,43
14,25
15,31
16,38
17,9
18,45
19,4
20,40
21,38
22,47
23,4
24,16
25,23
26,25
27,25
28,28
29,40
30,24
31,48
32,40
33,40
34,41
35,46
36,11
37,37
38,12
39,1
40,28
41,49
42,13
43,36
44,38
45,16
46,32
47,22
48,13
49,8
#STORE_NO, DELIVERY_PRICE
0,8.73
1,9.05
2,6.37
3,4.6
4,1.6
5,4.48
6,7.58
7,5.67
8,2.58
9,0.11
10,6.01
11,8.37
12,7.5
13,4.08
14,0.27
15,3.68
16,3.07
17,7.48
18,3.45
19,1.61
20,2.91
21,2.38
22,8.82
23,1.68
24,5.14
25,1.58
26,0.4
27,2.59
28,5.57
29,2.97
30,1.9
31,9.2
32,1.54
33,8.86
34,3.25
35,4.34
36,7.47
37,8.65
38,8.03
39,0.94
40,9.32
41,7.23
42,2.07
43,9.46
44,6.02
45,6.08
46,5.94
47,0.53
48,6.98
49,6.99
50,6.32
51,2.61
52,6.2
53,3.29
54,6.09
55,2.07
56,4.1
57,7.06
58,1.5
59,2.1
60,2.34
61,2.58
62,8.3
63,8.78
64,5.42
65,5.42
66,1.91
67,9.22
68,3.71
69,9.64
70,1.48
71,8.64
72,8.62
73,4.68
74,5.42
75,4.79
76,4.93
77,7.95
78,4.32
79,8.12
80,5.3
81,5.35
82,0.35
83,4.45
84,3.34
85,4.1
86,4.1
87,1.82
88,9.62
89,2.94
90,5.09
91,2.62
92,9.73
93,4.92
94,0.05
95,6.77
96,3.32
97,8.06
98,7.1
99,3.22
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
30.51,36.27,33.56,0.0,47.83,39.7,22.88,0.0,36.61,0.0,0.0,0.0,47.26,0.0,0.0,0.0,0.0,0.0,43.4,33.75,0.0,21.67,0.0,0.0,5.68,41.07,36.88,0.0,43.89,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86,0.0,0.0,0.0,0.0,10.43,47.92,0.0,26.72,8.17,
0.0,0.0,0.0,0.0,0.0,0.0,39.69,0.0,0.0,37.07,0.0,0.0,0.0,0.0,42.86,37.91,8.45,0.0,0.0,22.71,0.0,0.0,39.6,22.42,10.29,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,23.71,48.85,0.0,35.02,34.91,0.0,0.0,0.0,32.01,0.0,0.0,0.0,0.0,0.0,37.4,0.0,
48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59,21.34,0.0,35.23,10.6,38.7,0.0,0.0,8.61,0.0,0.0,0.0,0.0,14.95,0.0,0.0,0.0,0.0,46.09,45.25,0.0,15.81,0.0,0.0,14.76,0.0,7.37,0.0,38.48,0.0,9.27,0.0,17.51,0.0,19.54,0.0,0.0,37.02,0.0,0.0,46.53,5.53,
47.61,40.8,0.0,0.0,39.86,0.0,0.0,0.0,14.5,0.0,23.14,0.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,23.03,0.0,0.0,0.0,0.0,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.47,0.0,0.0,44.89,0.0,0.0,0.0,0.0,0.0,46.86,0.0,34.4,
31.26,0.0,26.7,27.73,0.0,39.04,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,32.15,0.0,42.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,35.61,0.0,0.0,25.21,0.0,0.0,32.8,25.0,0.0,0.0,9.9,50.09,0.0,32.54,41.37,0.0,0.0,0.0,0.0,30.9,0.0,
10.31,0.0,0.0,0.0,47.79,0.0,0.0,10.73,0.0,0.0,0.0,0.0,42.68,30.47,0.0,0.0,12.33,19.44,0.0,0.0,0.0,0.0,0.0,44.68,0.0,16.24,0.0,35.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.65,0.0,0.0,40.56,0.0,0.0,0.0,0.0,0.0,0.0,36.34,41.58,38.34,39.71,
0.0,11.6,37.18,0.0,0.0,36.01,0.0,0.0,9.87,0.0,0.0,0.0,28.56,49.08,45.12,23.54,27.37,0.0,0.0,0.0,30.87,16.16,38.58,22.08,0.0,0.0,9.99,0.0,0.0,41.27,0.0,37.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,34.55,0.0,0.0,14.77,39.36,30.81,0.0,0.0,
0.0,13.5,0.0,12.59,0.0,0.0,29.75,31.09,27.6,0.0,0.0,0.0,0.0,7.29,0.0,0.0,26.28,0.0,0.0,44.23,0.0,0.0,0.0,0.0,23.57,0.0,32.5,0.0,14.73,0.0,24.62,13.94,0.0,22.2,0.0,0.0,0.0,12.31,0.0,0.0,0.0,0.0,13.25,39.78,42.77,7.92,0.0,0.0,0.0,0.0,
29.25,33.4,0.0,35.32,0.0,39.03,0.0,0.0,0.0,48.25,0.0,0.0,23.12,0.0,0.0,0.0,0.0,0.0,21.33,24.1,17.63,0.0,0.0,0.0,0.0,36.94,42.14,0.0,29.18,0.0,28.2,0.0,37.64,25.22,33.18,5.22,38.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47,0.0,0.0,0.0,
48.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,42.55,15.77,0.0,25.2,6.24,9.36,15.82,0.0,36.61,0.0,0.0,0.0,0.0,27.44,21.79,0.0,11.03,0.0,0.0,0.0,49.89,0.0,0.0,0.0,0.0,0.0,0.0,21.16,0.0,9.92,37.59,42.18,0.0,0.0,5.16,0.0,0.0,13.82,6.22,
