#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,7
1,35
2,5
3,19
4,33
5,5
6,40
7,26
8,5
9,37
10,42
11,30
12,21
13,24
14,44
15,43
16,11
17,41
18,31
19,17
20,15
21,25
22,3
23,12
24,49
25,19
26,46
27,12
28,1
29,7
30,36
31,41
32,16
33,13
34,25
35,1
36,20
37,49
38,1
39,13
40,16
41,47
42,19
43,31
44,2
45,46
46,44
47,1
48,25
49,21
#STORE_NO, DELIVERY_PRICE
0,1.01
1,5.73
2,2.27
3,4.96
4,3.6
5,6.89
6,4.78
7,2.57
8,5.06
9,0.47
10,9.33
11,7.0
12,8.21
13,5.88
14,4.84
15,7.22
16,9.44
17,2.96
18,0.56
19,9.38
20,4.69
21,8.0
22,2.12
23,3.9
24,6.28
25,4.81
26,6.35
27,8.19
28,8.9
29,8.4
30,7.85
31,4.74
32,7.88
33,9.54
34,2.67
35,7.57
36,8.0
37,2.57
38,3.86
39,7.51
40,2.19
41,4.04
42,0.66
43,6.85
44,2.35
45,5.97
46,7.58
47,2.34
48,8.71
49,6.1
50,6.53
51,6.77
52,3.61
53,0.78
54,0.32
55,0.68
56,4.73
57,0.78
58,5.4
59,4.91
60,5.77
61,9.42
62,0.26
63,4.84
64,9.72
65,2.91
66,8.24
67,8.13
68,6.02
69,8.14
70,6.35
71,3.84
72,4.57
73,5.55
74,8.19
75,7.01
76,1.11
77,1.27
78,8.34
79,5.78
80,1.85
81,6.17
82,0.49
83,7.5
84,2.31
85,3.93
86,9.76
87,6.04
88,4.05
89,1.17
90,1.97
91,5.89
92,7.77
93,2.3
94,2.06
95,5.57
96,0.97
97,5.84
98,4.32
99,5.58
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,15.61,0.0,0.0,0.0,0.0,13.7,0.0,48.32,49.64,15.95,0.0,0.0,49.14,33.08,0.0,0.0,45.24,0.0,0.0,23.47,0.0,16.58,9.29,0.0,14.91,0.0,0.0,0.0,0.0,29.17,37.11,0.0,0.0,0.0,0.0,29.65,0.0,0.0,0.0,48.28,11.02,0.0,0.0,0.0,40.04,20.92,23.8,14.89,9.85,
0.0,0.0,20.67,28.32,43.27,24.68,0.0,0.0,0.0,0.0,0.0,0.0,37.72,0.0,46.66,17.85,0.0,0.0,0.0,22.55,0.0,0.0,0.0,6.91,0.0,0.0,44.7,0.0,0.0,0.0,0.0,42.57,38.8,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,20.1,0.0,0.0,46.27,0.0,0.0,46.96,37.28,0.0,
33.58,0.0,41.28,36.26,23.24,0.0,9.08,0.0,0.0,10.21,0.0,0.0,5.66,42.69,39.59,33.56,0.0,0.0,0.0,0.0,37.74,0.0,0.0,41.54,7.33,0.0,0.0,0.0,0.0,0.0,9.85,0.0,0.0,23.39,37.96,0.0,14.76,31.91,0.0,0.0,11.88,0.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,48.08,
49.49,45.52,0.0,0.0,0.0,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28,0.0,0.0,32.19,0.0,0.0,0.0,0.0,0.0,15.84,39.4,10.99,31.63,0.0,0.0,0.0,40.83,0.0,0.0,48.03,12.8,0.0,8.87,0.0,28.48,0.0,0.0,0.0,50.01,0.0,0.0,42.48,0.0,0.0,7.96,15.16,
15.87,0.0,0.0,0.0,0.0,11.61,49.48,0.0,0.0,21.1,33.51,0.0,17.84,0.0,0.0,0.0,47.04,0.0,0.0,0.0,0.0,0.0,45.31,37.97,12.45,0.0,0.0,37.14,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,12.34,0.0,0.0,0.0,0.0,42.87,0.0,9.01,0.0,38.1,5.73,17.56,0.0,32.8,
0.0,28.13,0.0,0.0,0.0,22.86,0.0,47.19,0.0,43.15,0.0,0.0,0.0,0.0,14.8,0.0,37.16,26.03,49.78,0.0,25.22,0.0,0.0,0.0,30.3,0.0,22.34,13.91,0.0,22.2,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,0.0,0.0,27.99,32.39,38.61,38.66,0.0,0.0,0.0,0.0,40.54,18.69,
0.0,0.0,0.0,0.0,38.61,12.4,0.0,0.0,44.01,0.0,11.07,0.0,0.0,0.0,21.34,14.97,0.0,0.0,48.64,0.0,28.88,0.0,0.0,0.0,23.93,0.0,44.12,0.0,22.58,32.18,0.0,0.0,0.0,12.15,0.0,0.0,6.83,0.0,0.0,0.0,0.0,47.38,0.0,0.0,0.0,34.21,0.0,0.0,45.48,0.0,
0.0,0.0,0.0,6.16,17.57,0.0,0.0,7.7,0.0,30.87,37.62,0.0,22.31,0.0,47.39,33.51,0.0,46.62,0.0,0.0,27.96,31.63,0.0,28.89,14.82,0.0,0.0,0.0,0.0,37.22,38.63,41.34,0.0,29.48,6.0,0.0,0.0,0.0,14.42,37.11,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,17.81,0.0,35.48,18.43,0.0,11.95,0.0,0.0,21.98,0.0,0.0,49.34,0.0,0.0,0.0,12.89,0.0,20.37,37.28,0.0,0.0,0.0,0.0,40.22,0.0,0.0,30.99,44.14,14.85,33.33,0.0,49.55,0.0,0.0,0.0,0.0,33.75,0.0,30.86,0.0,0.0,0.0,0.0,0.0,29.2,0.0,39.68,0.0,0.0,
37.21,16.83,0.0,16.97,0.0,10.91,0.0,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,29.77,0.0,0.0,18.25,0.0,0.0,42.45,0.0,0.0,49.09,7.02,25.93,0.0,0.0,45.51,0.0,0.0,13.37,0.0,0.0,43.35,0.0,44.52,41.58,0.0,0.0,0.0,0.0,5.74,38.08,18.56,0.0,0.0,12.83,
